symbol,status,bars,first_bar,last_bar,cache_csv,cache_pkl,message
KDP,ok,240165,2024-01-02T13:36:00,2026-04-30T22:24:00,data_cache\alpaca\KDP\1Min.csv,data_cache\alpaca\KDP\1Min.pkl,
KHC,ok,256582,2024-01-02T09:00:00,2026-05-01T08:01:00,data_cache\alpaca\KHC\1Min.csv,data_cache\alpaca\KHC\1Min.pkl,
KLAC,ok,196259,2024-01-02T11:46:00,2026-05-01T08:41:00,data_cache\alpaca\KLAC\1Min.csv,data_cache\alpaca\KLAC\1Min.pkl,
LIN,ok,219380,2024-01-02T10:42:00,2026-05-01T08:12:00,data_cache\alpaca\LIN\1Min.csv,data_cache\alpaca\LIN\1Min.pkl,
LRCX,ok,250836,2024-01-02T09:43:00,2026-05-01T08:00:00,data_cache\alpaca\LRCX\1Min.csv,data_cache\alpaca\LRCX\1Min.pkl,
MAR,ok,217577,2024-01-02T12:00:00,2026-04-30T22:31:00,data_cache\alpaca\MAR\1Min.csv,data_cache\alpaca\MAR\1Min.pkl,
MCHP,ok,242714,2024-01-02T13:47:00,2026-05-01T08:21:00,data_cache\alpaca\MCHP\1Min.csv,data_cache\alpaca\MCHP\1Min.pkl,
MDLZ,ok,236757,2024-01-02T11:49:00,2026-04-30T23:28:00,data_cache\alpaca\MDLZ\1Min.csv,data_cache\alpaca\MDLZ\1Min.pkl,
MELI,ok,153506,2024-01-02T14:30:00,2026-04-30T23:20:00,data_cache\alpaca\MELI\1Min.csv,data_cache\alpaca\MELI\1Min.pkl,
META,ok,369814,2024-01-02T09:07:00,2026-05-01T09:00:00,data_cache\alpaca\META\1Min.csv,data_cache\alpaca\META\1Min.pkl,
MNST,ok,234630,2024-01-02T10:06:00,2026-05-01T08:23:00,data_cache\alpaca\MNST\1Min.csv,data_cache\alpaca\MNST\1Min.pkl,
MPWR,ok,163933,2024-01-02T14:30:00,2026-05-01T08:31:00,data_cache\alpaca\MPWR\1Min.csv,data_cache\alpaca\MPWR\1Min.pkl,
MRVL,ok,327683,2024-01-02T09:20:00,2026-05-01T08:55:00,data_cache\alpaca\MRVL\1Min.csv,data_cache\alpaca\MRVL\1Min.pkl,
MSFT,ok,381256,2024-01-02T09:02:00,2026-05-01T08:59:00,data_cache\alpaca\MSFT\1Min.csv,data_cache\alpaca\MSFT\1Min.pkl,
MSTR,ok,403980,2024-01-02T09:04:00,2026-05-01T09:00:00,data_cache\alpaca\MSTR\1Min.csv,data_cache\alpaca\MSTR\1Min.pkl,
MU,ok,414035,2024-01-02T09:10:00,2026-05-01T09:01:00,data_cache\alpaca\MU\1Min.csv,data_cache\alpaca\MU\1Min.pkl,
NFLX,ok,317148,2024-01-02T09:30:00,2026-05-01T09:01:00,data_cache\alpaca\NFLX\1Min.csv,data_cache\alpaca\NFLX\1Min.pkl,
NVDA,ok,545209,2024-01-02T09:00:00,2026-05-01T09:00:00,data_cache\alpaca\NVDA\1Min.csv,data_cache\alpaca\NVDA\1Min.pkl,
NXPI,ok,228470,2024-01-02T14:28:00,2026-05-01T08:28:00,data_cache\alpaca\NXPI\1Min.csv,data_cache\alpaca\NXPI\1Min.pkl,
ODFL,ok,212738,2024-01-02T14:29:00,2026-04-30T21:08:00,data_cache\alpaca\ODFL\1Min.csv,data_cache\alpaca\ODFL\1Min.pkl,
ORLY,ok,162906,2024-01-02T14:30:00,2026-04-30T23:53:00,data_cache\alpaca\ORLY\1Min.csv,data_cache\alpaca\ORLY\1Min.pkl,
PANW,ok,261420,2024-01-02T09:12:00,2026-04-30T23:52:00,data_cache\alpaca\PANW\1Min.csv,data_cache\alpaca\PANW\1Min.pkl,
PAYX,ok,222715,2024-01-02T11:19:00,2026-04-30T20:15:00,data_cache\alpaca\PAYX\1Min.csv,data_cache\alpaca\PAYX\1Min.pkl,
PCAR,ok,226634,2024-01-02T13:00:00,2026-04-30T20:54:00,data_cache\alpaca\PCAR\1Min.csv,data_cache\alpaca\PCAR\1Min.pkl,
PDD,ok,313640,2024-01-02T09:01:00,2026-05-01T08:34:00,data_cache\alpaca\PDD\1Min.csv,data_cache\alpaca\PDD\1Min.pkl,
PEP,ok,248400,2024-01-02T11:57:00,2026-04-30T23:51:00,data_cache\alpaca\PEP\1Min.csv,data_cache\alpaca\PEP\1Min.pkl,
PLTR,ok,503663,2024-01-02T09:00:00,2026-05-01T08:59:00,data_cache\alpaca\PLTR\1Min.csv,data_cache\alpaca\PLTR\1Min.pkl,
PYPL,ok,316594,2024-01-02T09:00:00,2026-05-01T08:51:00,data_cache\alpaca\PYPL\1Min.csv,data_cache\alpaca\PYPL\1Min.pkl,
QCOM,ok,280542,2024-01-02T09:01:00,2026-05-01T08:50:00,data_cache\alpaca\QCOM\1Min.csv,data_cache\alpaca\QCOM\1Min.pkl,
REGN,ok,176586,2024-01-02T13:00:00,2026-04-30T20:19:00,data_cache\alpaca\REGN\1Min.csv,data_cache\alpaca\REGN\1Min.pkl,
ROP,ok,158083,2024-01-02T14:29:00,2026-04-30T21:14:00,data_cache\alpaca\ROP\1Min.csv,data_cache\alpaca\ROP\1Min.pkl,
ROST,ok,226148,2024-01-02T13:00:00,2026-05-01T08:00:00,data_cache\alpaca\ROST\1Min.csv,data_cache\alpaca\ROST\1Min.pkl,
SBUX,ok,266062,2024-01-02T11:56:00,2026-05-01T08:09:00,data_cache\alpaca\SBUX\1Min.csv,data_cache\alpaca\SBUX\1Min.pkl,
SHOP,ok,283143,2024-01-02T09:01:00,2026-05-01T08:02:00,data_cache\alpaca\SHOP\1Min.csv,data_cache\alpaca\SHOP\1Min.pkl,
SNPS,ok,215124,2024-01-02T11:38:00,2026-05-01T08:07:00,data_cache\alpaca\SNPS\1Min.csv,data_cache\alpaca\SNPS\1Min.pkl,
STX,ok,241332,2024-01-02T12:54:00,2026-05-01T09:00:00,data_cache\alpaca\STX\1Min.csv,data_cache\alpaca\STX\1Min.pkl,
TEAM,ok,233533,2024-01-02T11:36:00,2026-05-01T08:58:00,data_cache\alpaca\TEAM\1Min.csv,data_cache\alpaca\TEAM\1Min.pkl,
TMUS,ok,237254,2024-01-02T13:02:00,2026-04-30T21:45:00,data_cache\alpaca\TMUS\1Min.csv,data_cache\alpaca\TMUS\1Min.pkl,
TRI,ok,174155,2024-01-02T14:30:00,2026-05-01T08:00:00,data_cache\alpaca\TRI\1Min.csv,data_cache\alpaca\TRI\1Min.pkl,
TSLA,ok,541010,2024-01-02T09:00:00,2026-05-01T09:01:00,data_cache\alpaca\TSLA\1Min.csv,data_cache\alpaca\TSLA\1Min.pkl,
TTWO,ok,216947,2024-01-02T09:09:00,2026-05-01T08:24:00,data_cache\alpaca\TTWO\1Min.csv,data_cache\alpaca\TTWO\1Min.pkl,
TXN,ok,245445,2024-01-02T12:07:00,2026-05-01T08:00:00,data_cache\alpaca\TXN\1Min.csv,data_cache\alpaca\TXN\1Min.pkl,
VRSK,ok,187908,2024-01-02T14:29:00,2026-04-30T21:26:00,data_cache\alpaca\VRSK\1Min.csv,data_cache\alpaca\VRSK\1Min.pkl,
VRTX,ok,212072,2024-01-02T12:00:00,2026-05-01T08:00:00,data_cache\alpaca\VRTX\1Min.csv,data_cache\alpaca\VRTX\1Min.pkl,
WBD,ok,281610,2024-01-02T09:16:00,2026-05-01T08:01:00,data_cache\alpaca\WBD\1Min.csv,data_cache\alpaca\WBD\1Min.pkl,
WDAY,ok,231077,2024-01-02T12:06:00,2026-05-01T08:36:00,data_cache\alpaca\WDAY\1Min.csv,data_cache\alpaca\WDAY\1Min.pkl,
WDC,ok,264248,2024-01-02T11:00:00,2026-05-01T09:01:00,data_cache\alpaca\WDC\1Min.csv,data_cache\alpaca\WDC\1Min.pkl,
WMT,ok,290477,2024-01-02T11:33:00,2026-05-01T08:00:00,data_cache\alpaca\WMT\1Min.csv,data_cache\alpaca\WMT\1Min.pkl,
XEL,ok,229627,2024-01-02T14:27:00,2026-04-30T22:46:00,data_cache\alpaca\XEL\1Min.csv,data_cache\alpaca\XEL\1Min.pkl,
ZS,ok,240401,2024-01-02T12:00:00,2026-05-01T08:09:00,data_cache\alpaca\ZS\1Min.csv,data_cache\alpaca\ZS\1Min.pkl,
