variant,symbol,reaction_date,trade_num,direction,entry_time,exit_time,entry_price,exit_price,return_pct,pnl,outcome,notes
wave_sequence_best_return,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:45:00,110.35,111.99,-1.4861803352967835,-15.661803352967837,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
wave_sequence_best_return,AXON,2026-02-25,1,Short,2026-02-25T13:56:00,2026-02-25T14:06:00,505.98,494.99,2.1720226095893134,20.920226095893135,Counter-signal exit,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | session_exit=eod
wave_sequence_best_return,AXON,2026-02-25,2,Long,2026-02-25T14:07:00,2026-02-25T14:13:00,496.95,489.49575,-1.5000000000000004,-15.800000000000006,SL hit,Entry: Long @ 496.9500 (signal-bar close) | regime=earnings_wave_long | SL=489.4957 | TP=none | session_exit=eod
wave_sequence_best_return,INTC,2026-04-24,1,Short,2026-04-24T13:01:00,2026-04-24T13:11:00,83.4016,82.9,0.6014273107470315,5.214273107470315,Counter-signal exit,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_short | SL=87.7534 | TP=none | session_exit=eod
wave_sequence_best_return,INTC,2026-04-24,2,Long,2026-04-24T13:21:00,2026-04-24T13:25:00,82.79,81.54815,-1.4999999999999993,-15.799999999999994,SL hit,Entry: Long @ 82.7900 (signal-bar close) | regime=earnings_wave_long | SL=81.5482 | TP=none | session_exit=eod
wave_sequence_best_return,STX,2026-04-29,1,Short,2026-04-29T13:02:00,2026-04-29T13:12:00,664.5,665.0,-0.07524454477050413,-1.5524454477050413,Counter-signal exit,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | session_exit=eod
wave_sequence_best_return,STX,2026-04-29,2,Long,2026-04-29T13:22:00,2026-04-29T13:42:00,663.0,688.344,3.8226244343891476,37.368142141235104,Counter-signal exit,Entry: Long @ 663.0000 (signal-bar close) | regime=earnings_wave_long | SL=653.0550 | TP=none | session_exit=eod
wave_sequence_robust,MU,2024-09-26,1,Short,2024-09-26T13:35:00,2024-09-26T13:38:00,110.35,111.26,-0.8246488445854199,-9.0464884458542,Counter-signal exit,Entry: Short @ 110.3500 (signal-bar close) | regime=earnings_wave_short | SL=114.7846 | TP=none | session_exit=eod
wave_sequence_robust,MU,2024-09-26,2,Long,2024-09-26T13:39:00,2024-09-26T13:59:00,110.12,111.09,0.880857246640028,7.936123008115204,Counter-signal exit,Entry: Long @ 110.1200 (signal-bar close) | regime=earnings_wave_long | SL=108.4682 | TP=none | session_exit=eod
wave_sequence_robust,RBLX,2024-10-31,1,Short,2024-10-31T13:30:00,2024-10-31T13:34:00,49.95,49.265,1.371371371371376,12.91371371371376,Counter-signal exit,Entry: Short @ 49.9500 (signal-bar close) | regime=earnings_wave_short | SL=54.3139 | TP=none | session_exit=eod
wave_sequence_robust,RBLX,2024-10-31,2,Long,2024-10-31T13:35:00,2024-10-31T13:40:00,49.69,48.00026,-3.400563493660697,-34.80563493660697,SL hit,Entry: Long @ 49.6900 (signal-bar close) | regime=earnings_wave_long | SL=48.0003 | TP=none | session_exit=eod
wave_sequence_robust,TEAM,2024-11-01,1,Short,2024-11-01T13:28:00,2024-11-01T13:38:00,225.26,219.32,2.6369528544792677,25.56952854479268,Counter-signal exit,Entry: Short @ 225.2600 (signal-bar close) | regime=earnings_wave_short | SL=235.3638 | TP=none | session_exit=eod
wave_sequence_robust,TEAM,2024-11-01,2,Long,2024-11-01T13:39:00,2024-11-01T13:53:00,221.24,216.92061999999999,-1.9523503887181448,-20.32350388718145,SL hit,Entry: Long @ 221.2400 (signal-bar close) | regime=earnings_wave_long | SL=216.9206 | TP=none | session_exit=eod
wave_sequence_robust,PLTR,2025-02-04,1,Short,2025-02-04T14:30:00,2025-02-04T14:31:00,100.904,102.11,-1.1951954332831238,-12.751954332831238,Counter-signal exit,Entry: Short @ 100.9040 (signal-bar close) | regime=earnings_wave_short | SL=105.5093 | TP=none | session_exit=eod
wave_sequence_robust,PLTR,2025-02-04,2,Long,2025-02-04T14:32:00,2025-02-04T14:52:00,102.85,106.34,3.3932912007778406,32.710402626941494,Counter-signal exit,Entry: Long @ 102.8500 (signal-bar close) | regime=earnings_wave_long | SL=99.9069 | TP=none | session_exit=eod
wave_sequence_robust,APP,2025-05-08,1,Short,2025-05-08T13:48:00,2025-05-08T13:50:00,342.93,345.08,-0.6269501064357091,-7.069501064357091,Counter-signal exit,Entry: Short @ 342.9300 (signal-bar close) | regime=earnings_wave_short | SL=358.4378 | TP=none | session_exit=eod
wave_sequence_robust,APP,2025-05-08,2,Long,2025-05-08T13:51:00,2025-05-08T14:11:00,346.3,355.03,2.520935604966781,24.236794081094413,Counter-signal exit,Entry: Long @ 346.3000 (signal-bar close) | regime=earnings_wave_long | SL=341.1055 | TP=none | session_exit=eod
wave_sequence_robust,APLD,2025-07-31,1,Short,2025-07-31T13:30:00,2025-07-31T13:31:00,12.306,12.876800000000001,-4.638387778319535,-47.18387778319534,SL hit,Entry: Short @ 12.3060 (signal-bar close) | regime=earnings_wave_short | SL=12.8768 | TP=none | session_exit=eod
wave_sequence_robust,APLD,2025-07-31,2,Long,2025-07-31T13:32:00,2025-07-31T13:52:00,12.8,13.745,7.3828124999999885,69.58237487526397,Counter-signal exit,Entry: Long @ 12.8000 (signal-bar close) | regime=earnings_wave_long | SL=12.1965 | TP=none | session_exit=eod
wave_sequence_robust,IDXX,2025-08-04,1,Short,2025-08-04T13:36:00,2025-08-04T13:38:00,652.01,655.51,-0.5368015827978099,-6.168015827978098,Counter-signal exit,Entry: Short @ 652.0100 (signal-bar close) | regime=earnings_wave_short | SL=684.0799 | TP=none | session_exit=eod
wave_sequence_robust,IDXX,2025-08-04,2,Long,2025-08-04T13:39:00,2025-08-04T13:59:00,654.5162,650.5,-0.6136135362272204,-6.89335316957271,Counter-signal exit,Entry: Long @ 654.5162 (signal-bar close) | regime=earnings_wave_long | SL=644.6985 | TP=none | session_exit=eod
wave_sequence_robust,APLD,2025-10-10,1,Short,2025-10-10T13:11:00,2025-10-10T13:13:00,36.7603,37.1876,-1.162395301452933,-12.42395301452933,Counter-signal exit,Entry: Short @ 36.7603 (signal-bar close) | regime=earnings_wave_short | SL=38.9825 | TP=none | session_exit=eod
wave_sequence_robust,APLD,2025-10-10,2,Long,2025-10-10T13:14:00,2025-10-10T13:30:00,37.1937,36.635794499999996,-1.5000000000000104,-15.60370154237054,SL hit,Entry: Long @ 37.1937 (signal-bar close) | regime=earnings_wave_long | SL=36.6358 | TP=none | session_exit=eod
wave_sequence_robust,DDOG,2025-11-06,1,Short,2025-11-06T14:25:00,2025-11-06T14:30:00,179.71,183.3292,-2.0139113015413597,-20.9391130154136,Counter-signal exit,Entry: Short @ 179.7100 (signal-bar close) | regime=earnings_wave_short | SL=193.0916 | TP=none | session_exit=eod
wave_sequence_robust,DDOG,2025-11-06,2,Long,2025-11-06T14:31:00,2025-11-06T14:51:00,183.525,188.045,2.4628797166598453,23.329843289705682,Counter-signal exit,Entry: Long @ 183.5250 (signal-bar close) | regime=earnings_wave_long | SL=176.5046 | TP=none | session_exit=eod
wave_sequence_robust,DDOG,2026-02-10,1,Short,2026-02-10T14:28:00,2026-02-10T14:30:00,125.34,126.985,-1.3124301898835136,-13.924301898835136,Counter-signal exit,Entry: Short @ 125.3400 (signal-bar close) | regime=earnings_wave_short | SL=137.8220 | TP=none | session_exit=eod
wave_sequence_robust,DDOG,2026-02-10,2,Long,2026-02-10T14:31:00,2026-02-10T14:51:00,127.04,129.79,2.1646725440805934,20.556449342166026,Counter-signal exit,Entry: Long @ 127.0400 (signal-bar close) | regime=earnings_wave_long | SL=122.5701 | TP=none | session_exit=eod
wave_sequence_robust,AXON,2026-02-25,1,Short,2026-02-25T13:56:00,2026-02-25T14:07:00,505.98,496.95,1.7846555199810328,17.046555199810328,Counter-signal exit,Entry: Short @ 505.9800 (signal-bar close) | regime=earnings_wave_short | SL=525.1320 | TP=none | session_exit=eod
wave_sequence_robust,AXON,2026-02-25,2,Long,2026-02-25T14:08:00,2026-02-25T14:11:00,498.9515,491.105083,-1.5725811025720997,-16.525811025720998,SL hit,Entry: Long @ 498.9515 (signal-bar close) | regime=earnings_wave_long | SL=491.1051 | TP=none | session_exit=eod
wave_sequence_robust,INTC,2026-04-24,1,Short,2026-04-24T13:01:00,2026-04-24T13:21:00,83.4016,82.79,0.733319264858223,6.533192648582229,Counter-signal exit,Entry: Short @ 83.4016 (signal-bar close) | regime=earnings_wave_short | SL=87.7534 | TP=none | session_exit=eod
wave_sequence_robust,INTC,2026-04-24,2,Long,2026-04-24T13:22:00,2026-04-24T13:42:00,82.3,83.59,1.5674362089915022,14.87436208991502,Counter-signal exit,Entry: Long @ 82.3000 (signal-bar close) | regime=earnings_wave_long | SL=81.0655 | TP=none | session_exit=eod
wave_sequence_robust,STX,2026-04-29,1,Short,2026-04-29T13:02:00,2026-04-29T13:09:00,664.5,667.0,-0.3762227238525207,-4.562227238525207,Counter-signal exit,Entry: Short @ 664.5000 (signal-bar close) | regime=earnings_wave_short | SL=691.1220 | TP=none | session_exit=eod
wave_sequence_robust,STX,2026-04-29,2,Long,2026-04-29T13:10:00,2026-04-29T13:31:00,666.1315,675.0,1.331343736184228,12.456348217062505,Counter-signal exit,Entry: Long @ 666.1315 (signal-bar close) | regime=earnings_wave_long | SL=656.1395 | TP=none | session_exit=eod
