,date,symbol,action,close,strategy,confidence,tp,sl,rsi,regime,verdict_reason
143,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
133,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
132,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
131,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
130,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
129,2026-04-23T19:59:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.06,,,53,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
127,2026-04-23T19:58:00.000Z,GLD,HOLD,431.0299987792969,Bollinger + RSI (Spike-Aware),0.1942,,,40.29,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
126,2026-04-23T19:57:00.000Z,GLD,HOLD,431.4150085449219,Bollinger + RSI (Spike-Aware),0.39120000000000005,,,69.56,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
125,2026-04-23T19:56:00.000Z,GLD,HOLD,431.364990234375,Bollinger + RSI (Spike-Aware),0.3353999999999999,,,66.77,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
124,2026-04-23T19:55:00.000Z,GLD,HOLD,431.30999755859375,Bollinger + RSI (Spike-Aware),0.27019999999999994,,,63.51,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
123,2026-04-23T19:54:00.000Z,GLD,HOLD,431.2900085449219,Bollinger + RSI (Spike-Aware),0.24620000000000006,,,62.31,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
122,2026-04-23T19:53:00.000Z,GLD,HOLD,431.3699951171875,Bollinger + RSI (Spike-Aware),0.4108000000000001,,,70.54,,RSI overbought alone is not a short trigger; intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed
121,2026-04-23T19:52:00.000Z,GLD,HOLD,431.2449951171875,Bollinger + RSI (Spike-Aware),0.27840000000000004,,,63.92,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
120,2026-04-23T19:51:00.000Z,GLD,HOLD,431.2314147949219,Bollinger + RSI (Spike-Aware),0.26239999999999997,,,63.12,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
119,2026-04-23T19:50:00.000Z,GLD,HOLD,431.1499938964844,Bollinger + RSI (Spike-Aware),0.1636,,,58.18,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
118,2026-04-23T19:49:00.000Z,GLD,HOLD,431.1400146484375,Bollinger + RSI (Spike-Aware),0.15120000000000006,,,57.56,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
117,2026-04-23T19:48:00.000Z,GLD,HOLD,431.1300048828125,Bollinger + RSI (Spike-Aware),0.13980000000000004,,,56.99,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
116,2026-04-23T19:47:00.000Z,GLD,HOLD,431.0700988769531,Bollinger + RSI (Spike-Aware),0.07379999999999995,,,53.69,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
115,2026-04-23T19:46:00.000Z,GLD,HOLD,430.989990234375,Bollinger + RSI (Spike-Aware),0.019200000000000016,,,49.04,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
114,2026-04-23T19:45:00.000Z,GLD,HOLD,430.989990234375,Bollinger + RSI (Spike-Aware),0.019200000000000016,,,49.04,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
113,2026-04-23T19:44:00.000Z,GLD,HOLD,430.7950134277344,Bollinger + RSI (Spike-Aware),0.26280000000000003,,,36.86,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
112,2026-04-23T19:43:00.000Z,GLD,HOLD,430.8399963378906,Bollinger + RSI (Spike-Aware),0.22480000000000003,,,38.76,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
111,2026-04-23T19:42:00.000Z,GLD,HOLD,430.8399963378906,Bollinger + RSI (Spike-Aware),0.22480000000000003,,,38.76,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
110,2026-04-23T19:41:00.000Z,GLD,HOLD,430.9750061035156,Bollinger + RSI (Spike-Aware),0.11680000000000007,,,44.16,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
109,2026-04-23T19:40:00.000Z,GLD,HOLD,430.9136962890625,Bollinger + RSI (Spike-Aware),0.18319999999999992,,,40.84,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
108,2026-04-23T19:38:00.000Z,GLD,HOLD,430.989990234375,Bollinger + RSI (Spike-Aware),0.19299999999999998,,,40.35,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
107,2026-04-23T19:37:00.000Z,GLD,HOLD,430.7999877929688,Bollinger + RSI (Spike-Aware),0.457,,,27.15,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
106,2026-04-23T19:36:00.000Z,GLD,HOLD,430.7999877929688,Bollinger + RSI (Spike-Aware),0.457,,,27.15,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
105,2026-04-23T19:35:00.000Z,GLD,HOLD,430.739990234375,Bollinger + RSI (Spike-Aware),0.5422,,,22.89,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
104,2026-04-23T19:34:00.000Z,GLD,HOLD,430.8799133300781,Bollinger + RSI (Spike-Aware),0.4792,,,26.04,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
103,2026-04-23T19:33:00.000Z,GLD,HOLD,431.1799011230469,Bollinger + RSI (Spike-Aware),0.29340000000000005,,,35.33,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
102,2026-04-23T19:32:00.000Z,GLD,HOLD,431.510009765625,Bollinger + RSI (Spike-Aware),0.08519999999999996,,,54.26,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
101,2026-04-23T19:31:00.000Z,GLD,HOLD,431.51220703125,Bollinger + RSI (Spike-Aware),0.0886,,,54.43,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
100,2026-04-23T19:30:00.000Z,GLD,HOLD,431.4649963378906,Bollinger + RSI (Spike-Aware),0.02959999999999994,,,51.48,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
99,2026-04-23T19:29:00.000Z,GLD,HOLD,431.4486999511719,Bollinger + RSI (Spike-Aware),0.01,,,50.5,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
98,2026-04-23T19:28:00.000Z,GLD,HOLD,431.5700073242188,Bollinger + RSI (Spike-Aware),0.16620000000000004,,,58.31,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
97,2026-04-23T19:27:00.000Z,GLD,HOLD,431.4500122070313,Bollinger + RSI (Spike-Aware),0.035,,,51.75,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
96,2026-04-23T19:26:00.000Z,GLD,HOLD,431.614990234375,Bollinger + RSI (Spike-Aware),0.2813999999999999,,,64.07,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
95,2026-04-23T19:25:00.000Z,GLD,HOLD,431.7200012207031,Bollinger + RSI (Spike-Aware),0.4808000000000001,,,74.04,,RSI overbought alone is not a short trigger; intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed
94,2026-04-23T19:24:00.000Z,GLD,HOLD,431.6749877929688,Bollinger + RSI (Spike-Aware),0.4480000000000001,,,72.4,,RSI overbought alone is not a short trigger; intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed
93,2026-04-23T19:23:00.000Z,GLD,HOLD,431.4100036621094,Bollinger + RSI (Spike-Aware),0.17620000000000005,,,58.81,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
92,2026-04-23T19:22:00.000Z,GLD,HOLD,431.3500061035156,Bollinger + RSI (Spike-Aware),0.08560000000000002,,,54.28,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
91,2026-04-23T19:21:00.000Z,GLD,HOLD,431.30999755859375,Bollinger + RSI (Spike-Aware),0.02200000000000003,,,51.1,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
90,2026-04-23T19:20:00.000Z,GLD,HOLD,431.2999877929688,Bollinger + RSI (Spike-Aware),0.006599999999999966,,,50.33,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
89,2026-04-23T19:19:00.000Z,GLD,HOLD,431.2699890136719,Bollinger + RSI (Spike-Aware),0.037000000000000026,,,48.15,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
88,2026-04-23T19:18:00.000Z,GLD,HOLD,431.2250061035156,Bollinger + RSI (Spike-Aware),0.1014,,,44.93,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
87,2026-04-23T19:17:00.000Z,GLD,HOLD,431.2200012207031,Bollinger + RSI (Spike-Aware),0.10819999999999994,,,44.59,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
86,2026-04-23T19:16:00.000Z,GLD,HOLD,431.1900024414063,Bollinger + RSI (Spike-Aware),0.14579999999999999,,,42.71,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
85,2026-04-23T19:15:00.000Z,GLD,HOLD,431.2099914550781,Bollinger + RSI (Spike-Aware),0.12819999999999993,,,43.59,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
84,2026-04-23T19:14:00.000Z,GLD,HOLD,431.0899963378906,Bollinger + RSI (Spike-Aware),0.2672,,,36.64,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
83,2026-04-23T19:13:00.000Z,GLD,HOLD,431.1799926757813,Bollinger + RSI (Spike-Aware),0.20159999999999997,,,39.92,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
82,2026-04-23T19:12:00.000Z,GLD,HOLD,431.1000061035156,Bollinger + RSI (Spike-Aware),0.293,,,35.35,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
81,2026-04-23T19:11:00.000Z,GLD,HOLD,430.9949951171875,Bollinger + RSI (Spike-Aware),0.419,,,29.05,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
80,2026-04-23T19:10:00.000Z,GLD,HOLD,431.1099853515625,Bollinger + RSI (Spike-Aware),0.3581999999999999,,,32.09,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
79,2026-04-23T19:08:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.3048,,,34.76,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
78,2026-04-23T19:07:00.000Z,GLD,HOLD,431.35400390625,Bollinger + RSI (Spike-Aware),0.24599999999999994,,,37.7,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
77,2026-04-23T19:06:00.000Z,GLD,HOLD,431.3599853515625,Bollinger + RSI (Spike-Aware),0.24280000000000002,,,37.86,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
76,2026-04-23T19:05:00.000Z,GLD,HOLD,431.2099914550781,Bollinger + RSI (Spike-Aware),0.37579999999999997,,,31.21,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
75,2026-04-23T19:04:00.000Z,GLD,HOLD,430.9754028320313,Bollinger + RSI (Spike-Aware),0.6165999999999999,,,19.17,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
74,2026-04-23T19:03:00.000Z,GLD,HOLD,431.25,Bollinger + RSI (Spike-Aware),0.5312,,,23.44,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
73,2026-04-23T19:02:00.000Z,GLD,HOLD,431.1275024414063,Bollinger + RSI (Spike-Aware),0.6794,,,16.03,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
72,2026-04-23T19:01:00.000Z,GLD,HOLD,431.4200134277344,Bollinger + RSI (Spike-Aware),0.5964,,,20.18,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
71,2026-04-23T19:00:00.000Z,GLD,HOLD,431.55999755859375,Bollinger + RSI (Spike-Aware),0.5466,,,22.67,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
70,2026-04-23T18:59:00.000Z,GLD,HOLD,431.7099914550781,Bollinger + RSI (Spike-Aware),0.48619999999999997,,,25.69,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
69,2026-04-23T18:58:00.000Z,GLD,HOLD,431.8900146484375,Bollinger + RSI (Spike-Aware),0.4008,,,29.96,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
68,2026-04-23T18:57:00.000Z,GLD,HOLD,432.0400085449219,Bollinger + RSI (Spike-Aware),0.3168000000000001,,,34.16,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
67,2026-04-23T18:56:00.000Z,GLD,HOLD,432.12799072265625,Bollinger + RSI (Spike-Aware),0.26299999999999996,,,36.85,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
66,2026-04-23T18:54:00.000Z,GLD,HOLD,432.5150146484375,Bollinger + RSI (Spike-Aware),0.01239999999999995,,,50.62,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
65,2026-04-23T18:54:00.000Z,GLD,HOLD,432.5150146484375,Bollinger + RSI (Spike-Aware),0.01239999999999995,,,50.62,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
64,2026-04-23T18:53:00.000Z,GLD,HOLD,432.5400085449219,Bollinger + RSI (Spike-Aware),0.036200000000000045,,,51.81,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
63,2026-04-23T18:52:00.000Z,GLD,HOLD,432.5150146484375,Bollinger + RSI (Spike-Aware),0.015600000000000024,,,50.78,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
62,2026-04-23T18:51:00.000Z,GLD,HOLD,432.2099914550781,Bollinger + RSI (Spike-Aware),0.2814,,,35.93,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
61,2026-04-23T18:50:00.000Z,GLD,HOLD,432.0950012207031,Bollinger + RSI (Spike-Aware),0.42560000000000003,,,28.72,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
60,2026-04-23T18:49:00.000Z,GLD,HOLD,432.1700134277344,Bollinger + RSI (Spike-Aware),0.38539999999999996,,,30.73,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
59,2026-04-23T18:48:00.000Z,GLD,HOLD,432.2799987792969,Bollinger + RSI (Spike-Aware),0.32400000000000007,,,33.8,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
58,2026-04-23T18:47:00.000Z,GLD,HOLD,432.4400024414063,Bollinger + RSI (Spike-Aware),0.2236,,,38.82,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
57,2026-04-23T18:46:00.000Z,GLD,HOLD,432.3999938964844,Bollinger + RSI (Spike-Aware),0.2654000000000001,,,36.73,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
55,2026-04-23T18:44:00.000Z,GLD,HOLD,432.55999755859375,Bollinger + RSI (Spike-Aware),0.17260000000000006,,,41.37,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
56,2026-04-23T18:44:00.000Z,GLD,HOLD,432.55999755859375,Bollinger + RSI (Spike-Aware),0.17260000000000006,,,41.37,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
54,2026-04-23T18:43:00.000Z,GLD,HOLD,432.239990234375,Bollinger + RSI (Spike-Aware),0.49579999999999996,,,25.21,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
53,2026-04-23T18:41:00.000Z,GLD,HOLD,432.75,Bollinger + RSI (Spike-Aware),0.21700000000000003,,,39.15,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
52,2026-04-23T18:41:00.000Z,GLD,HOLD,432.75,Bollinger + RSI (Spike-Aware),0.21700000000000003,,,39.15,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
51,2026-04-23T18:39:00.000Z,GLD,HOLD,432.80999755859375,Bollinger + RSI (Spike-Aware),0.17120000000000005,,,41.44,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
50,2026-04-23T18:38:00.000Z,GLD,HOLD,432.9299926757813,Bollinger + RSI (Spike-Aware),0.08480000000000004,,,45.76,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
49,2026-04-23T18:37:00.000Z,GLD,HOLD,433.2662048339844,Bollinger + RSI (Spike-Aware),0.23560000000000003,,,61.78,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
48,2026-04-23T18:36:00.000Z,GLD,HOLD,433.30999755859375,Bollinger + RSI (Spike-Aware),0.2878,,,64.39,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
47,2026-04-23T18:35:00.000Z,GLD,HOLD,433.2900085449219,Bollinger + RSI (Spike-Aware),0.2754000000000001,,,63.77,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
46,2026-04-23T18:34:00.000Z,GLD,HOLD,433.2099914550781,Bollinger + RSI (Spike-Aware),0.22739999999999994,,,61.37,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
45,2026-04-23T18:33:00.000Z,GLD,HOLD,433.30999755859375,Bollinger + RSI (Spike-Aware),0.3247999999999999,,,66.24,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
44,2026-04-23T18:32:00.000Z,GLD,HOLD,433.010009765625,Bollinger + RSI (Spike-Aware),0.1436,,,57.18,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
43,2026-04-23T18:31:00.000Z,GLD,HOLD,433.25,Bollinger + RSI (Spike-Aware),0.41319999999999996,,,70.66,,RSI overbought alone is not a short trigger; intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed
42,2026-04-23T18:30:00.000Z,GLD,HOLD,433.1838989257813,Bollinger + RSI (Spike-Aware),0.3772,,,68.86,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
41,2026-04-23T18:29:00.000Z,GLD,HOLD,432.7999877929688,Bollinger + RSI (Spike-Aware),0.08920000000000002,,,54.46,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
40,2026-04-23T18:28:00.000Z,GLD,HOLD,432.6998901367188,Bollinger + RSI (Spike-Aware),0.02019999999999996,,,48.99,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
39,2026-04-23T18:27:00.000Z,GLD,HOLD,432.8599853515625,Bollinger + RSI (Spike-Aware),0.18159999999999996,,,59.08,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
38,2026-04-23T18:26:00.000Z,GLD,HOLD,432.8450012207031,Bollinger + RSI (Spike-Aware),0.1672,,,58.36,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
37,2026-04-23T18:25:00.000Z,GLD,HOLD,432.739990234375,Bollinger + RSI (Spike-Aware),0.06599999999999995,,,53.3,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
