,date,symbol,action,close,strategy,confidence,tp,sl,rsi,regime,verdict_reason
41,2026-04-22T16:52:00.000Z,GLD,HOLD,434.2550048828125,Bollinger + RSI (Spike-Aware),0.018799999999999956,,,50.94,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
16,2026-04-22T16:19:00.000Z,GLD,HOLD,433.9949951171875,Bollinger + RSI (Spike-Aware),0.34659999999999996,,,32.67,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
15,2026-04-22T16:18:00.000Z,GLD,HOLD,434.239990234375,Bollinger + RSI (Spike-Aware),0.13620000000000004,,,43.19,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
14,2026-04-22T16:16:00.000Z,GLD,HOLD,434.1788024902344,Bollinger + RSI (Spike-Aware),0.225,,,38.75,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
13,2026-04-22T16:15:00.000Z,GLD,HOLD,434.25,Bollinger + RSI (Spike-Aware),0.16180000000000005,,,41.91,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
12,2026-04-22T16:14:00.000Z,GLD,HOLD,434.4881896972656,Bollinger + RSI (Spike-Aware),0.10719999999999999,,,55.36,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
11,2026-04-22T16:12:00.000Z,GLD,HOLD,434.4100036621094,Bollinger + RSI (Spike-Aware),0.022199999999999987,,,51.11,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
10,2026-04-22T16:11:00.000Z,GLD,HOLD,434.2900085449219,Bollinger + RSI (Spike-Aware),0.11659999999999997,,,44.17,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
9,2026-04-22T16:10:00.000Z,GLD,HOLD,434.5801086425781,Bollinger + RSI (Spike-Aware),0.27120000000000005,,,63.56,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
8,2026-04-22T16:08:00.000Z,GLD,HOLD,434.6099853515625,Bollinger + RSI (Spike-Aware),0.3575999999999999,,,67.88,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
7,2026-04-22T16:07:00.000Z,GLD,HOLD,434.5899963378906,Bollinger + RSI (Spike-Aware),0.34180000000000005,,,67.09,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
6,2026-04-22T16:06:00.000Z,GLD,HOLD,434.5344848632813,Bollinger + RSI (Spike-Aware),0.29919999999999985,,,64.96,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
5,2026-04-22T16:05:00.000Z,GLD,HOLD,434.5,Bollinger + RSI (Spike-Aware),0.27319999999999994,,,63.66,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
4,2026-04-22T16:03:00.000Z,GLD,HOLD,434.239990234375,Bollinger + RSI (Spike-Aware),0.05659999999999996,,,52.83,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
3,2026-04-22T16:02:00.000Z,GLD,HOLD,434.0700073242188,Bollinger + RSI (Spike-Aware),0.13200000000000003,,,43.4,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
2,2026-04-22T16:01:00.000Z,GLD,HOLD,433.9800109863281,Bollinger + RSI (Spike-Aware),0.24959999999999993,,,37.52,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
1,2026-04-22T15:59:00.000Z,GLD,HOLD,434.2000122070313,Bollinger + RSI (Spike-Aware),0.02280000000000001,,,48.86,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
0,2026-04-22T15:59:00.000Z,GLD,HOLD,434.2000122070313,Bollinger + RSI (Spike-Aware),0.02280000000000001,,,48.86,,intraday pullback short not confirmed; shock reversal short not confirmed; cascade breakdown short not confirmed; shock rebound long not confirmed; normal_short_sig=false
